doc_id,doc_truthfulness_value
GOLD_HIGH,200
GOLD_LOW,200
SB6-Crist-veto-health-care,10
allan-fung-former-ri-gov-donald-carcieri-has-not-b,10
among-children-firearms-leading-cause-death-2020,10
arizona-us-senate-race-attack-ties-masters-nazis-u,10
assembly-majority-leader-lou-greenwald-claims-mone,10
barnes-partially-right-claim-johnson-has-received-,10
biden-wrong-claim-about-gun-manufacturers-and-liab,10
bidens-claim-medicare-all-tax-hikes-rests-flaky-an,10
big-four-meat-packers-are-seeing-record-profits-sp,10
blaming-one-legislator-accident-ignores-lot,10
bob-good-invents-position-ketanji-brown-jackson-la,10
charlie-crist-calls-marco-rubios-2007-tax-swap-pro,10
checking-beasley-votes-armed-kidnapper-and-double-,10
chris-christie-claims-states-gained-143000-new-pri,10
chris-smith-elections-bill-two-required-changes,10
claim-kids-more-likely-have-access-crack-pipes-mas,10
claim-nominee-ketanji-brown-jackson-wants-defund-p,10
common-core-testing-homosexual-possibly-can,10
conservative-activist-steve-lonegan-claims-social-,10
courts-have-repeatedly-upheld-grants-gableman-says,10
crist-attacks-rubio-campaign-contributions,10
crist-says-reagan-was-democrat-converting-gop,10
crist-touts-cover-florida-cost-saving-health-care-,10
david-dewhurst-appears-be-first-lieutenant-governo,10
david-dewhurst-says-he-never-supported-texas-payro,10
david-jolly-says-kathleen-peters-wont-take-stand-r,10
david-perdue-distorts-facts-georgia-agreement-abse,10
democrats-say-david-jolly-david-jolly-supports-pri,10
democrats-still-exaggerating-gop-backing-scotts-pl,10
did-joe-biden-overstate-democratic-voters-oppositi,10
do-160-million-americans-like-their-health-insur,10
do-republicans-want-throw-doctors-who-break-aborti,10
does-jd-vance-profit-russia-propaganda,10
does-new-york-lead-nation-population-loss,10
fact-checking-bernie-sanders-attack-florida-gov-ro,10
fact-checking-bernie-sanders-claim-us-spends-three,10
fact-checking-charlie-crists-claim-desantis-hasnt-,10
fact-checking-chris-murphy-ages-mass-shooters,10
fact-checking-claim-about-number-immigrants-becomi,10
fact-checking-claim-most-planned-parenthood-clinic,10
fact-checking-gary-peters-ad-james-abortion-stance,10
fact-checking-hillary-clintons-claim-isis-using-vi,10
fact-checking-joe-biden-inflation-rates-among-uss-,10
fact-checking-joe-biden-paying-down-federal-debt,10
fact-checking-lindsey-graham-us-allowing-abortions,10
fact-checking-omalleys-claim-hillary-clinton-flips,10
fact-checking-warnocks-statement-drop-oil-prices-d,10
fact-checking-whether-bennie-thompson-objected-200,10
florida-rents-are-high-crist-exaggerates-new-york-,10
georgias-david-perdue-said-elections-were-stolen-h,10
georgias-governors-race-brian-kemps-attack-david-p,10
gop-challenger-overstates-parole-boards-record-und,10
gop-senate-candidate-hinckley-says-there-no-money-,10
gov-john-kasich-says-his-turnpike-plan-would-lower,10
graphic-labeled-top-ten-most-unhealthy-us-cities-d,10
greene-twists-logic-and-facts-pedophilia-charge-ag,10
grothman-mostly-right-who-would-benefit-student-lo,10
gus-bilirakis-says-his-flood-insurance-bill-would-,10
hard-pin-down-growing-cost-unused-border-materials,10
iran-aint-miami-beach-but-beatings-and-killings-fo,10
jd-vance-says-transgender-rights-drives-looming-co,10
jim-jordan-says-seven-nations-10-wealthiest-counti,10
joe-biden-blame-putin-high-gasoline-prices,10
joe-biden-said-mass-shootings-tripled-when-assault,10
john-boehner-says-stimulus-bill-was-rushed-passage,10
joni-ernst-target-describing-11th-hour-obama-rule-,10
kathleen-falk-says-gov-scott-walker-cut-school-aid,10
kevin-mccarthy-said-domestic-oil-more-affordable-i,10
lauren-boebert-wrong-founding-fathers-intent-exper,10
marjorie-taylor-greene-shared-edited-image-highlan,10
mehmet-oz-supports-abortion-limited-cases-wants-ro,10
more-50-years-ago-new-york-republican-support-abor,10
n-pa-senate-run-dr-oz-casts-self-pro-second-amendm,10
neo-nazi-and-racial-discrimination-claims-az-gover,10
new-york-state-so-many-bills,10
nikki-frieds-ad-misleads-crists-position-abortion-,10
no-evidence-pelosi-rejected-trumps-authorization-2,10
no-these-mass-shootings-werent-plot-protect-hillar,10
nrsc-ad-attacks-2-beasley-rulings-omits-context,10
nrsc-exaggerates-effect-beasley-rulings-sex-offens,10
ohio-gop-candidate-falsely-says-more-votes-registe,10
ohios-jd-vance-wants-defund-federal-law-enforcemen,10
ohios-mandel-repeats-false-claim-stolen-2020-elect,10
orourke-right-about-estimated-property-tax-revenue,10
pennsylvania-us-senate-candidate-kathy-barnette-wa,10
recent-report-put-texas-last-among-states-and-dc-m,10
rep-doug-holders-texting-while-driving-stat-too-hi,10
rep-tim-murphy-says-air-ban-israel-offers-preceden,10
republican-senate-hopeful-claims-montana-sen-jon-t,10
research-submitted-fda-consideration-vaccine-autho,9
roe-reversal-ending-national-access-abortion-makes,10
romney-overstates-united-states-medical-costs-and-,10
ron-desantis-exaggerates-outstanding-graduate-stud,10
ron-desantis-falsely-claims-biden-trying-buy-state,10
rpof-chair-lenny-curry-says-rick-scott-cut-state-d,10
secretary-state-brian-kemp-says-challenger-didnt-v,10
sen-grahams-false-claim-about-build-back-better-ad,10
sen-stephen-wise-says-everybody-death-row-was-fost,10
