worker_id,access_counter,token_input,user_agent_source,ip_address,generated,ip_source,time_removal,try_current,paid,batch_name,token_output,unit_id,session_i_d,time_completion,in_progress,user_agent,time_arrival,task_name,folder,time_expired,study_i_d,platform,try_left,source_acl,source_data,source_log,source_path,try_last,task_id,tries_amount,questionnaire_amount,questionnaire_amount_start,questionnaire_amount_end,documents_amount,dimensions_amount,time_arrival_parsed,time_completion_parsed,time_removal_parsed
62c61250e85c96fc1794c7db,1,PVIXJIXWBRG,cf,158.115.160.242,False,cf,"Tue, 23 Aug 2022 14:23:59 GMT",2,False,V4-Prolific-1,JESDOQMSKXJ,unit_118,6304ba3bc7741ff5af45100d,"Tue, 23 Aug 2022 11:50:47 GMT",False,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/104.0.0.0 Safari/537.36","Tue, 23 Aug 2022 11:30:33 GMT",FakeNewsMultidimensional,FakeNewsMultidimensional/V4-Prolific-1/Data/62c61250e85c96fc1794c7db/,True,6303790e0569ab25a565c4ef,prolific,7,Crowd_Frame-FakeNewsMultidimensional_V4-Prolific-1_ACL,Crowd_Frame-FakeNewsMultidimensional_V4-Prolific-1_Data,,result/FakeNewsMultidimensional/Data/62c61250e85c96fc1794c7db.json,1.0,FakeNewsMultidimensional,10.0,3.0,3.0,0.0,8.0,10.0,2022-08-23 11:30:33 00:00,2022-08-23 11:50:47 00:00,2022-08-23 14:23:59 00:00
5e2360162828c461a8000585,1,RNDTOINZOSZ,cf,50.0.146.252,False,cf,"Tue, 23 Aug 2022 14:35:37 GMT",1,False,V4-Prolific-1,DRZVKFFTORR,unit_153,6304c2cf19e55a5e09ad5918,,False,Mozilla/5.0 (Macintosh; Intel Mac OS X 10.13; rv:103.0) Gecko/20100101 Firefox/103.0,"Tue, 23 Aug 2022 12:07:22 GMT",FakeNewsMultidimensional,FakeNewsMultidimensional/V4-Prolific-1/Data/5e2360162828c461a8000585/,True,6303790e0569ab25a565c4ef,prolific,10,,,,,,,,,,,,,,,
6272919c35ab7659d0754c07,1,RVOUJBUEGFY,cf,172.58.16.233,False,cf,,1,True,V4-Prolific-1,GBJIDLCHAFW,unit_82,6304b16258fa12db6e0d4061,"Tue, 23 Aug 2022 11:17:33 GMT",False,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/104.0.0.0 Safari/537.36","Tue, 23 Aug 2022 10:52:59 GMT",FakeNewsMultidimensional,FakeNewsMultidimensional/V4-Prolific-1/Data/6272919c35ab7659d0754c07/,False,6303790e0569ab25a565c4ef,prolific,10,Crowd_Frame-FakeNewsMultidimensional_V4-Prolific-1_ACL,Crowd_Frame-FakeNewsMultidimensional_V4-Prolific-1_Data,,result/FakeNewsMultidimensional/Data/6272919c35ab7659d0754c07.json,1.0,FakeNewsMultidimensional,10.0,3.0,3.0,0.0,8.0,10.0,2022-08-23 10:52:59 00:00,2022-08-23 11:17:33 00:00,
5d338bb02381b7001761694e,1,XYXSVSOSHJN,cf,2603:6011:ab03:a497:c49d:9115:e378:ada2,False,cf,,1,True,V4-Prolific-1,AODKVKCCIWN,unit_83,6304e17b5581b2b055cfde7b,"Tue, 23 Aug 2022 14:45:23 GMT",False,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/104.0.0.0 Safari/537.36","Tue, 23 Aug 2022 14:17:59 GMT",FakeNewsMultidimensional,FakeNewsMultidimensional/V4-Prolific-1/Data/5d338bb02381b7001761694e/,False,6303790e0569ab25a565c4ef,prolific,10,Crowd_Frame-FakeNewsMultidimensional_V4-Prolific-1_ACL,Crowd_Frame-FakeNewsMultidimensional_V4-Prolific-1_Data,,result/FakeNewsMultidimensional/Data/5d338bb02381b7001761694e.json,1.0,FakeNewsMultidimensional,10.0,3.0,3.0,0.0,8.0,10.0,2022-08-23 14:17:59 00:00,2022-08-23 14:45:23 00:00,
5e531b2205acdb33c0f5f24c,1,HDYZUFIVJIY,cf,71.72.218.65,False,cf,,1,True,V4-Prolific-1,RKJEIOYXUIJ,unit_15,6303a1c09051d337b8fa32e1,"Mon, 22 Aug 2022 15:48:42 GMT",False,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/104.0.0.0 Safari/537.36","Mon, 22 Aug 2022 15:33:27 GMT",FakeNewsMultidimensional,FakeNewsMultidimensional/V4-Prolific-1/Data/5e531b2205acdb33c0f5f24c/,False,6303790e0569ab25a565c4ef,prolific,10,Crowd_Frame-FakeNewsMultidimensional_V4-Prolific-1_ACL,Crowd_Frame-FakeNewsMultidimensional_V4-Prolific-1_Data,,result/FakeNewsMultidimensional/Data/5e531b2205acdb33c0f5f24c.json,1.0,FakeNewsMultidimensional,10.0,3.0,3.0,0.0,8.0,10.0,2022-08-22 15:33:27 00:00,2022-08-22 15:48:42 00:00,
627935c4e5d7e70b502e206e,1,WPHBSHJBBKY,cf,98.17.134.92,False,cf,,1,True,V4-Prolific-1,NGAGKWCIZYG,unit_110,6304e2aab72981ea0e1a70dd,"Tue, 23 Aug 2022 14:57:00 GMT",False,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/104.0.0.0 Safari/537.36","Tue, 23 Aug 2022 14:23:39 GMT",FakeNewsMultidimensional,FakeNewsMultidimensional/V4-Prolific-1/Data/627935c4e5d7e70b502e206e/,False,6303790e0569ab25a565c4ef,prolific,10,Crowd_Frame-FakeNewsMultidimensional_V4-Prolific-1_ACL,Crowd_Frame-FakeNewsMultidimensional_V4-Prolific-1_Data,,result/FakeNewsMultidimensional/Data/627935c4e5d7e70b502e206e.json,1.0,FakeNewsMultidimensional,10.0,3.0,3.0,0.0,8.0,10.0,2022-08-23 14:23:39 00:00,2022-08-23 14:57:00 00:00,
61151fdceebe67102a0983ad,1,VSVNANGVWAE,cf,2600:6c5e:597f:43a9:44f0:cd75:c2b3:1537,False,cf,,1,True,V4-Prolific-1,LKXGXZAVYQD,unit_178,6304cd5649fa5ce9897e90c7,"Tue, 23 Aug 2022 13:29:40 GMT",False,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/104.0.0.0 Safari/537.36","Tue, 23 Aug 2022 12:56:52 GMT",FakeNewsMultidimensional,FakeNewsMultidimensional/V4-Prolific-1/Data/61151fdceebe67102a0983ad/,False,6303790e0569ab25a565c4ef,prolific,10,Crowd_Frame-FakeNewsMultidimensional_V4-Prolific-1_ACL,Crowd_Frame-FakeNewsMultidimensional_V4-Prolific-1_Data,,result/FakeNewsMultidimensional/Data/61151fdceebe67102a0983ad.json,1.0,FakeNewsMultidimensional,10.0,3.0,3.0,0.0,8.0,10.0,2022-08-23 12:56:52 00:00,2022-08-23 13:29:40 00:00,
615dbf532dce1f14ef1b3ddc,1,WCZTXYJTHGH,cf,104.186.36.122,False,cf,,1,True,V4-Prolific-1,PRYBTIHVJRZ,unit_163,6304c6663e9dbc36e6ad58f6,"Tue, 23 Aug 2022 12:59:04 GMT",False,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/104.0.0.0 Safari/537.36","Tue, 23 Aug 2022 12:22:52 GMT",FakeNewsMultidimensional,FakeNewsMultidimensional/V4-Prolific-1/Data/615dbf532dce1f14ef1b3ddc/,False,6303790e0569ab25a565c4ef,prolific,10,Crowd_Frame-FakeNewsMultidimensional_V4-Prolific-1_ACL,Crowd_Frame-FakeNewsMultidimensional_V4-Prolific-1_Data,,result/FakeNewsMultidimensional/Data/615dbf532dce1f14ef1b3ddc.json,1.0,FakeNewsMultidimensional,10.0,3.0,3.0,0.0,8.0,10.0,2022-08-23 12:22:52 00:00,2022-08-23 12:59:04 00:00,
5f467b0a0d1aef037515c8c9,1,LLKZQSOVYTG,cf,67.210.191.226,False,cf,"Tue, 23 Aug 2022 13:36:35 GMT",1,False,V4-Prolific-1,ODHCPGZYLXQ,unit_8,63039ea680377a46e4033549,,False,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:103.0) Gecko/20100101 Firefox/103.0,"Mon, 22 Aug 2022 15:20:33 GMT",FakeNewsMultidimensional,FakeNewsMultidimensional/V4-Prolific-1/Data/5f467b0a0d1aef037515c8c9/,True,6303790e0569ab25a565c4ef,prolific,10,Crowd_Frame-FakeNewsMultidimensional_V4-Prolific-1_ACL,Crowd_Frame-FakeNewsMultidimensional_V4-Prolific-1_Data,,result/FakeNewsMultidimensional/Data/5f467b0a0d1aef037515c8c9.json,1.0,FakeNewsMultidimensional,10.0,3.0,3.0,0.0,8.0,10.0,2022-08-22 15:20:33 00:00,,2022-08-23 13:36:35 00:00
62c8d23e8eb59ca0306d4463,1,FXHIBNVNHYN,cf,2601:4a:700:b812:48d3:7142:69a2:cc10,False,cf,,1,True,V4-Prolific-1,CUFBVYYFQVK,unit_101,6304b8c304924686a7302b24,"Tue, 23 Aug 2022 11:41:32 GMT",False,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/15.2 Safari/605.1.15","Tue, 23 Aug 2022 11:23:56 GMT",FakeNewsMultidimensional,FakeNewsMultidimensional/V4-Prolific-1/Data/62c8d23e8eb59ca0306d4463/,False,6303790e0569ab25a565c4ef,prolific,10,Crowd_Frame-FakeNewsMultidimensional_V4-Prolific-1_ACL,Crowd_Frame-FakeNewsMultidimensional_V4-Prolific-1_Data,,result/FakeNewsMultidimensional/Data/62c8d23e8eb59ca0306d4463.json,1.0,FakeNewsMultidimensional,10.0,3.0,3.0,0.0,8.0,10.0,2022-08-23 11:23:56 00:00,2022-08-23 11:41:32 00:00,
