workspace_id,project_id,study_id,study_date_created,study_date_created_parsed,study_date_published,study_date_published_parsed,study_name,study_name_internal,study_completion_code,study_completion_option,study_completion_option_id,study_status,study_type,study_share_id,study_participant_eligible_count,study_participant_pool_total,study_number_of_submissions,study_places_taken,study_places_total_available,study_places_total_cost,study_fees_per_submission,study_fees_percentage,study_fees_percentage_service_margin,study_fees_percentage_vat,study_fees_discount_from_coupon,study_fees_stars_remaining,study_receipt,study_currency_code,study_reward,study_reward_average_per_hour,study_reward_average_per_hour_without_adjustment,study_reward_level_below_original_estimate,study_reward_level_below_prolific_min,study_reward_has_had_adjustment,study_time_allowed_maximum,study_time_average_taken,study_time_completion_estimated,study_time_allowed_maximum,study_is_reallocated,study_is_underpaying,study_privacy_notice,study_device_compatibility,study_peripheral_requirements,study_url_external,submission_id,submission_status,submission_study_code,submission_date_started,submission_date_started_parsed,submission_date_completed,submission_date_completed_parsed,submission_is_complete,submission_time_elapsed_seconds,submission_reward,submission_star_awarded,participant_id,participant_ip,participant_date_birth,participant_ethnicity_simplified,participant_sex
62a884ef8159289c6fa21dee,62e3a5aec0202351838e8e0a,6303790e0569ab25a565c4ef,2022-08-22T12:39:42.817000Z,2022-08-22 12:39:42.817000 00:00,2022-08-22T12:40:37.509000Z,2022-08-22 12:40:37.509000 00:00,Multidimensional Misinformation Assessment,FakeNewsMultidimensional_V4-Prolific-1,CU2SMWI9,code,url_parameters,COMPLETED,SINGLE,63037912a6bfc71621ed0d33,33913,123351,354,200,201,80397.99,0.0,0.333333,0.25,0.0,0.0,1.0,,GBP,300.0,655.34,655.34,True,False,False,67.0,27.0,20.0,67.0,False,False,None,desktop,,https://crowdsourcing-deploy-us.s3.us-east-2.amazonaws.com/FakeNewsMultidimensional/V4-Prolific-1/index.html?workerID={{%PROLIFIC_PID%}}&studyID={{%STUDY_ID%}}&sessionID={{%SESSION_ID%}}&platform=prolific,6303a37545836ddc354fa02c,APPROVED,CU2SMWI9,2022-08-22T15:40:43.731000Z,2022-08-22 15:40:43.731000 00:00,2022-08-22T16:00:46.516000Z,2022-08-22 16:00:46.516000 00:00,True,1202.0,30000.0,0.0,62ff8c9ff1c92a7c721d3fcc,173.174.252.230,18-27,mixed,male
62a884ef8159289c6fa21dee,62e3a5aec0202351838e8e0a,6303790e0569ab25a565c4ef,2022-08-22T12:39:42.817000Z,2022-08-22 12:39:42.817000 00:00,2022-08-22T12:40:37.509000Z,2022-08-22 12:40:37.509000 00:00,Multidimensional Misinformation Assessment,FakeNewsMultidimensional_V4-Prolific-1,CU2SMWI9,code,url_parameters,COMPLETED,SINGLE,63037912a6bfc71621ed0d33,33913,123351,354,200,201,80397.99,0.0,0.333333,0.25,0.0,0.0,1.0,,GBP,300.0,655.34,655.34,True,False,False,67.0,27.0,20.0,67.0,False,False,None,desktop,,https://crowdsourcing-deploy-us.s3.us-east-2.amazonaws.com/FakeNewsMultidimensional/V4-Prolific-1/index.html?workerID={{%PROLIFIC_PID%}}&studyID={{%STUDY_ID%}}&sessionID={{%SESSION_ID%}}&platform=prolific,6303a3b1708fd4748cbb95a5,RETURNED,,2022-08-22T15:41:39.702000Z,2022-08-22 15:41:39.702000 00:00,,,False,,30000.0,0.0,5e65061173afb2277765b53b,24.154.18.189,28-37,white,female
62a884ef8159289c6fa21dee,62e3a5aec0202351838e8e0a,6303790e0569ab25a565c4ef,2022-08-22T12:39:42.817000Z,2022-08-22 12:39:42.817000 00:00,2022-08-22T12:40:37.509000Z,2022-08-22 12:40:37.509000 00:00,Multidimensional Misinformation Assessment,FakeNewsMultidimensional_V4-Prolific-1,CU2SMWI9,code,url_parameters,COMPLETED,SINGLE,63037912a6bfc71621ed0d33,33913,123351,354,200,201,80397.99,0.0,0.333333,0.25,0.0,0.0,1.0,,GBP,300.0,655.34,655.34,True,False,False,67.0,27.0,20.0,67.0,False,False,None,desktop,,https://crowdsourcing-deploy-us.s3.us-east-2.amazonaws.com/FakeNewsMultidimensional/V4-Prolific-1/index.html?workerID={{%PROLIFIC_PID%}}&studyID={{%STUDY_ID%}}&sessionID={{%SESSION_ID%}}&platform=prolific,6303a3f7a68ee5081576cbd2,RETURNED,,2022-08-22T15:42:51.890000Z,2022-08-22 15:42:51.890000 00:00,,,False,,30000.0,0.0,58fd1e751178370001dd35bb,73.177.197.55,48-57,white,female
62a884ef8159289c6fa21dee,62e3a5aec0202351838e8e0a,6303790e0569ab25a565c4ef,2022-08-22T12:39:42.817000Z,2022-08-22 12:39:42.817000 00:00,2022-08-22T12:40:37.509000Z,2022-08-22 12:40:37.509000 00:00,Multidimensional Misinformation Assessment,FakeNewsMultidimensional_V4-Prolific-1,CU2SMWI9,code,url_parameters,COMPLETED,SINGLE,63037912a6bfc71621ed0d33,33913,123351,354,200,201,80397.99,0.0,0.333333,0.25,0.0,0.0,1.0,,GBP,300.0,655.34,655.34,True,False,False,67.0,27.0,20.0,67.0,False,False,None,desktop,,https://crowdsourcing-deploy-us.s3.us-east-2.amazonaws.com/FakeNewsMultidimensional/V4-Prolific-1/index.html?workerID={{%PROLIFIC_PID%}}&studyID={{%STUDY_ID%}}&sessionID={{%SESSION_ID%}}&platform=prolific,6303a40451cad9ab5c368469,RETURNED,,2022-08-22T15:43:00.645000Z,2022-08-22 15:43:00.645000 00:00,,,False,,30000.0,0.0,5b98d9362cca9c0001de161f,47.224.50.72,48-57,white,male
62a884ef8159289c6fa21dee,62e3a5aec0202351838e8e0a,6303790e0569ab25a565c4ef,2022-08-22T12:39:42.817000Z,2022-08-22 12:39:42.817000 00:00,2022-08-22T12:40:37.509000Z,2022-08-22 12:40:37.509000 00:00,Multidimensional Misinformation Assessment,FakeNewsMultidimensional_V4-Prolific-1,CU2SMWI9,code,url_parameters,COMPLETED,SINGLE,63037912a6bfc71621ed0d33,33913,123351,354,200,201,80397.99,0.0,0.333333,0.25,0.0,0.0,1.0,,GBP,300.0,655.34,655.34,True,False,False,67.0,27.0,20.0,67.0,False,False,None,desktop,,https://crowdsourcing-deploy-us.s3.us-east-2.amazonaws.com/FakeNewsMultidimensional/V4-Prolific-1/index.html?workerID={{%PROLIFIC_PID%}}&studyID={{%STUDY_ID%}}&sessionID={{%SESSION_ID%}}&platform=prolific,6303a4071e0634e543409d6d,APPROVED,CU2SMWI9,2022-08-22T15:43:03.076000Z,2022-08-22 15:43:03.076000 00:00,2022-08-22T16:34:55.441000Z,2022-08-22 16:34:55.441000 00:00,True,3112.0,30000.0,0.0,62ef2768d2ff53772298a265,174.205.168.154,18-27,mixed,male
62a884ef8159289c6fa21dee,62e3a5aec0202351838e8e0a,6303790e0569ab25a565c4ef,2022-08-22T12:39:42.817000Z,2022-08-22 12:39:42.817000 00:00,2022-08-22T12:40:37.509000Z,2022-08-22 12:40:37.509000 00:00,Multidimensional Misinformation Assessment,FakeNewsMultidimensional_V4-Prolific-1,CU2SMWI9,code,url_parameters,COMPLETED,SINGLE,63037912a6bfc71621ed0d33,33913,123351,354,200,201,80397.99,0.0,0.333333,0.25,0.0,0.0,1.0,,GBP,300.0,655.34,655.34,True,False,False,67.0,27.0,20.0,67.0,False,False,None,desktop,,https://crowdsourcing-deploy-us.s3.us-east-2.amazonaws.com/FakeNewsMultidimensional/V4-Prolific-1/index.html?workerID={{%PROLIFIC_PID%}}&studyID={{%STUDY_ID%}}&sessionID={{%SESSION_ID%}}&platform=prolific,6303a4161e0634e543409d71,RETURNED,,2022-08-22T15:53:18.639000Z,2022-08-22 15:53:18.639000 00:00,,,False,,30000.0,0.0,62dc6d329a5144ff8b61afb9,71.254.196.155,28-37,white,male
62a884ef8159289c6fa21dee,62e3a5aec0202351838e8e0a,6303790e0569ab25a565c4ef,2022-08-22T12:39:42.817000Z,2022-08-22 12:39:42.817000 00:00,2022-08-22T12:40:37.509000Z,2022-08-22 12:40:37.509000 00:00,Multidimensional Misinformation Assessment,FakeNewsMultidimensional_V4-Prolific-1,CU2SMWI9,code,url_parameters,COMPLETED,SINGLE,63037912a6bfc71621ed0d33,33913,123351,354,200,201,80397.99,0.0,0.333333,0.25,0.0,0.0,1.0,,GBP,300.0,655.34,655.34,True,False,False,67.0,27.0,20.0,67.0,False,False,None,desktop,,https://crowdsourcing-deploy-us.s3.us-east-2.amazonaws.com/FakeNewsMultidimensional/V4-Prolific-1/index.html?workerID={{%PROLIFIC_PID%}}&studyID={{%STUDY_ID%}}&sessionID={{%SESSION_ID%}}&platform=prolific,6303a434a158c3b61f94b528,APPROVED,CU2SMWI9,2022-08-22T15:43:50.871000Z,2022-08-22 15:43:50.871000 00:00,2022-08-22T16:02:42.345000Z,2022-08-22 16:02:42.345000 00:00,True,1131.0,30000.0,0.0,61023ddd66a4dc36a987307c,68.180.95.235,18-27,asian,female
62a884ef8159289c6fa21dee,62e3a5aec0202351838e8e0a,6303790e0569ab25a565c4ef,2022-08-22T12:39:42.817000Z,2022-08-22 12:39:42.817000 00:00,2022-08-22T12:40:37.509000Z,2022-08-22 12:40:37.509000 00:00,Multidimensional Misinformation Assessment,FakeNewsMultidimensional_V4-Prolific-1,CU2SMWI9,code,url_parameters,COMPLETED,SINGLE,63037912a6bfc71621ed0d33,33913,123351,354,200,201,80397.99,0.0,0.333333,0.25,0.0,0.0,1.0,,GBP,300.0,655.34,655.34,True,False,False,67.0,27.0,20.0,67.0,False,False,None,desktop,,https://crowdsourcing-deploy-us.s3.us-east-2.amazonaws.com/FakeNewsMultidimensional/V4-Prolific-1/index.html?workerID={{%PROLIFIC_PID%}}&studyID={{%STUDY_ID%}}&sessionID={{%SESSION_ID%}}&platform=prolific,6303a443f9d4a70faf421393,APPROVED,CU2SMWI9,2022-08-22T15:51:06.417000Z,2022-08-22 15:51:06.417000 00:00,2022-08-22T16:21:29.653000Z,2022-08-22 16:21:29.653000 00:00,True,1823.0,30000.0,0.0,5f067f5d65bf871ea04329ed,172.56.13.46,28-37,white,female
62a884ef8159289c6fa21dee,62e3a5aec0202351838e8e0a,6303790e0569ab25a565c4ef,2022-08-22T12:39:42.817000Z,2022-08-22 12:39:42.817000 00:00,2022-08-22T12:40:37.509000Z,2022-08-22 12:40:37.509000 00:00,Multidimensional Misinformation Assessment,FakeNewsMultidimensional_V4-Prolific-1,CU2SMWI9,code,url_parameters,COMPLETED,SINGLE,63037912a6bfc71621ed0d33,33913,123351,354,200,201,80397.99,0.0,0.333333,0.25,0.0,0.0,1.0,,GBP,300.0,655.34,655.34,True,False,False,67.0,27.0,20.0,67.0,False,False,None,desktop,,https://crowdsourcing-deploy-us.s3.us-east-2.amazonaws.com/FakeNewsMultidimensional/V4-Prolific-1/index.html?workerID={{%PROLIFIC_PID%}}&studyID={{%STUDY_ID%}}&sessionID={{%SESSION_ID%}}&platform=prolific,6303a446589d617402567e90,RETURNED,,2022-08-22T15:44:06.620000Z,2022-08-22 15:44:06.620000 00:00,,,False,,30000.0,0.0,614ce6a7a33bac955957f7a6,24.3.183.181,28-37,white,male
62a884ef8159289c6fa21dee,62e3a5aec0202351838e8e0a,6303790e0569ab25a565c4ef,2022-08-22T12:39:42.817000Z,2022-08-22 12:39:42.817000 00:00,2022-08-22T12:40:37.509000Z,2022-08-22 12:40:37.509000 00:00,Multidimensional Misinformation Assessment,FakeNewsMultidimensional_V4-Prolific-1,CU2SMWI9,code,url_parameters,COMPLETED,SINGLE,63037912a6bfc71621ed0d33,33913,123351,354,200,201,80397.99,0.0,0.333333,0.25,0.0,0.0,1.0,,GBP,300.0,655.34,655.34,True,False,False,67.0,27.0,20.0,67.0,False,False,None,desktop,,https://crowdsourcing-deploy-us.s3.us-east-2.amazonaws.com/FakeNewsMultidimensional/V4-Prolific-1/index.html?workerID={{%PROLIFIC_PID%}}&studyID={{%STUDY_ID%}}&sessionID={{%SESSION_ID%}}&platform=prolific,6303a4479223b0f799567ecd,RETURNED,,2022-08-22T15:46:15.668000Z,2022-08-22 15:46:15.668000 00:00,,,False,,30000.0,0.0,62865e3456c142785cfad2a7,75.136.84.207,28-37,other,male
